"item"	"rt"
7	710.332158072852
5	681.003442383371
6	728.353581367992
8	721.759084607475
8	675.128826457076
10	663.411326683126
4	685.393004710786
1	710.147857530974
3	667.006444963627
6	701.477982620709
4	679.616684704088
9	671.205351850949
4	707.671512230299
2	728.457862320356
10	663.656181185506
4	708.629091321491
5	694.692761837505
2	704.218721012585
9	696.023812605999
7	657.784084710293
1	661.92720325198
1	659.98459297698
1	695.88880490046
1	711.614500409923
6	717.594325724058
9	675.397213618271
4	692.067414144985
3	706.281239851378
9	711.838382217102
5	700.76382228639
2	669.956292207353
4	687.929304684512
1	666.608444093727
7	706.469297888689
7	722.870655390434
2	727.291401675902
5	673.574222023599
9	661.990733048879
5	716.909394818358
5	683.105809721164
10	696.630952260457
3	698.973628501408
2	683.001270978712
5	733.664769674651
9	655.704414206557
1	722.321218061261
10	679.56211888697
2	664.37750719022
7	684.948761700653
8	665.668247691356
3	669.281859579496
5	709.87927635666
7	731.633221297525
8	711.390562648885
9	690.85599779617
10	728.043280332349
4	669.770402996801
3	729.82593159657
2	700.72572787758
3	690.102316210978
8	723.032845105045
3	703.012113752775
8	730.299963722937
9	706.583947776817
6	702.595829772763
4	675.017804610543
3	709.605191363953
6	698.246011673473
4	702.373098186217
6	713.83371823933
2	723.579615852796
7	689.160013734363
1	688.837817083113
7	712.777113444172
2	709.660636219196
9	708.637634362094
5	732.885082974099
9	733.233874659054
3	696.919575124048
2	727.715961388312
8	731.050848304294
1	659.676329563372
7	719.649153421633
4	679.491337458603
8	662.165081775747
3	728.779098796658
10	703.560685343109
6	698.654946270399
6	720.218339967541
6	709.3020010693
10	727.415934889577
10	705.694355885498
5	672.840444608591
6	682.388459234498
10	715.494537628256
8	677.659484124742
1	687.609224258922
8	730.255757528357
10	720.878450027667
7	686.657556998543
