"item"	"rt"
5	701.150618307292
1	666.254106499255
7	672.160923536867
3	688.881949651986
2	684.632391426712
8	686.763072442263
2	675.31568819657
7	700.062124952674
4	699.988408330828
1	676.829100139439
10	692.397372424603
5	686.230993103236
4	683.047437835485
2	648.118530455977
7	709.167912807316
10	707.657190915197
9	654.364731330425
9	689.517363384366
5	698.625613320619
2	722.40743489936
4	658.768875859678
2	654.071578998119
3	678.348882440478
9	703.214784041047
5	714.015630166978
9	709.340418092906
9	704.137788321823
3	651.658576410264
2	653.71523315087
9	700.668128933758
4	670.488410927355
4	656.41752852127
7	710.952265560627
8	681.274220179766
7	678.098195455968
10	681.985673382878
6	679.442506935447
4	661.162780113518
2	700.132668521255
4	648.904914688319
4	717.449977826327
7	687.455582171679
3	682.338080834597
1	703.15914535895
2	704.060941766948
2	698.467830326408
10	675.484065711498
5	664.675615392625
3	654.643323998898
5	646.665391568094
1	648.009304478765
9	695.011535771191
9	717.934358138591
1	673.068578913808
6	723.918271064758
8	669.552749637514
6	658.685111235827
8	665.569835789502
5	704.953184965998
1	659.190084710717
4	661.16194088012
10	697.161768171936
1	699.261113256216
3	669.220384806395
6	691.852398682386
6	715.7188404724
1	663.308651484549
5	700.882719028741
9	701.939467322081
3	722.000368013978
3	722.666501197964
10	656.27178542316
6	680.598777774721
5	679.173000473529
8	648.173001985997
8	677.187309488654
4	694.210006222129
3	708.762122765183
10	695.938230808824
1	718.550916705281
10	697.094682566822
7	718.321922756732
3	696.187332179397
7	648.26864855364
1	721.395734902471
5	654.433311447501
6	676.149113848805
2	679.356706682593
7	686.40162743628
6	661.250365674496
8	717.92949443683
9	689.053966365755
8	677.430124245584
10	714.312142599374
8	652.588295321912
10	650.862795002759
6	725.36083849147
8	708.278529495001
6	691.769251637161
7	694.204338062555
