"item"	"rt"
6	692.132926951163
10	692.778157400899
9	704.235974955373
8	685.567238829099
8	706.891369423829
5	686.98919841554
9	710.783644705079
1	669.772187876515
8	657.705495930277
9	679.193092505448
3	718.436736888252
4	659.199142563157
4	666.674544918351
7	684.359558760189
7	680.104517540894
8	718.868944547139
8	705.626268642955
9	654.828603840433
3	659.155796184205
3	679.702978818677
9	697.011021557264
1	705.349016129039
4	720.476875673048
2	677.280903006904
1	646.324292416684
10	724.229787136428
5	679.208139306866
7	648.371692667715
10	693.651450811885
5	719.006865895353
10	696.728005385958
6	688.769793859683
7	678.547048843466
5	705.200815587305
2	678.896970856003
10	709.591010021977
1	674.812104473822
7	675.401096208952
1	700.131593267433
4	710.470327860676
8	686.386036439799
9	664.207330490462
10	709.498404650949
8	660.044394670986
6	663.721112995408
3	673.359232391231
7	666.08610549476
1	689.332911795937
4	657.325084167533
7	706.855771350674
5	706.605295515619
4	708.722551423125
2	711.456684335135
2	663.37405001279
6	681.63952847477
2	672.84242620226
2	716.037555499934
4	664.631699784659
3	703.513496606611
9	653.77010404598
3	687.417519441806
10	704.476700085215
9	671.038487306796
10	676.896170335822
6	693.869638810866
4	703.856376125477
4	674.954296476208
10	710.972934267484
7	693.247462599538
1	674.093307941221
6	659.4844177505
9	664.026746801101
8	689.078341550194
6	667.623657803051
10	647.589312489145
5	660.421173810028
1	676.325702047907
3	680.972460261546
1	707.538317157887
7	649.821369792335
9	689.023722219281
2	700.766916158609
6	676.071582525037
3	725.030287611298
3	695.093921790831
8	725.126740629785
2	693.236838742159
6	653.225485957228
6	702.867631702684
5	646.539951763116
5	720.20034014713
4	682.962576611899
2	719.83042886015
5	717.112808111124
7	710.791911105625
5	691.109520583414
8	704.792147385888
2	704.141371990554
1	648.073944929056
3	652.11334831547
