"item"	"rt"
9	664.196913796477
1	709.414961445145
9	672.330748285167
8	704.914926527999
1	714.995658933185
10	707.453470057808
1	713.506070408039
2	710.19722675439
6	738.669479670934
10	661.530708144419
5	707.058562426828
6	723.663800577633
4	681.856692521833
6	728.168411902152
5	677.853064849041
2	707.501047062688
10	731.110194488429
1	725.125051452778
4	685.619393917732
2	712.057872950099
3	684.460536013357
1	708.901548120193
3	686.10181204509
7	727.332494775765
3	682.025592676364
7	702.244327752851
7	665.287307160906
5	681.001834268682
1	670.947024761699
5	705.803852020763
9	688.119526649825
7	699.24090040382
10	726.635448518209
9	709.009023434483
7	716.841501439922
9	705.788724045269
5	706.630570623092
3	725.277560218237
3	699.570247600786
6	668.60700990539
8	672.195150624029
8	737.625773227774
9	699.542413572781
10	713.357750843279
8	723.031244552694
4	703.843040703796
4	730.214858851396
9	662.678044508211
1	704.060295629315
10	728.295217561536
8	727.405672869645
4	681.467389441095
2	713.769352766685
7	728.761083404534
2	665.251062582247
6	670.442156451754
10	669.854746977799
1	659.100170447491
3	697.517900406383
7	674.828657000326
8	733.670190623961
6	697.296974617057
8	668.83937665727
8	683.734879656695
6	666.161915319972
5	737.887679128908
2	715.160907111131
9	668.84002675768
5	665.434089913033
3	700.234365607612
2	717.1490102401
1	664.350186712109
6	666.58897114452
5	728.522632229142
7	709.370349287055
3	667.469042479061
5	684.564162376337
9	695.496283075772
2	729.299964713864
4	683.202000218444
8	667.284863512032
4	661.159038967453
8	661.923288567923
9	735.158610767685
10	695.51005418878
6	724.068135782145
4	669.029371808283
7	726.182385939173
4	727.548863324337
7	713.853732063435
2	699.916738062166
6	673.842331520282
10	659.033455378376
5	734.244366581552
3	689.660504846834
4	674.971799454652
10	731.546370233409
3	735.251971832477
1	706.531915920787
2	698.314083139412
