"item"	"rt"
6	716.201134957373
1	694.799332618713
7	728.964967057109
7	684.346161987633
2	700.439375434071
9	701.192766483873
10	709.894515313208
4	706.704880148172
10	707.153890151531
4	673.909657821059
4	651.674829386175
3	715.458898246288
1	668.182770852
2	678.181642144918
8	706.041975356638
6	706.161670796573
4	677.823563497514
7	715.139722954482
7	660.670701470226
2	691.801071148366
10	699.107303358614
8	710.106477849185
1	670.509738363326
9	728.746583033353
9	693.266895860434
6	686.661661844701
2	705.716850683093
7	728.687490224838
10	676.049552410841
4	652.548273336142
1	701.027097534388
3	658.256896976382
6	654.252290073782
9	709.040188267827
10	687.710402626544
2	713.525948487222
2	668.079455439001
5	713.239377755672
5	710.258535537869
2	680.597530789673
7	671.617908664048
10	654.175802562386
8	711.968443933874
4	711.427716203034
9	720.644711684436
8	725.144957154989
5	724.437973778695
4	710.468017682433
6	683.734604436904
7	673.445710726082
8	687.063525356352
9	720.838814061135
9	668.77325206995
1	654.618355389684
3	671.930487286299
5	717.08534495905
3	689.444338586181
8	691.684976518154
6	659.144775606692
9	665.322486031801
9	727.934626620263
7	706.811895146966
4	707.662511579692
8	688.733334746212
5	727.934975400567
3	723.604983203113
5	676.678028870374
1	683.088609725237
1	728.003989625722
10	664.562612921
3	681.333723552525
7	655.676762517542
10	654.683307241648
4	660.153898783028
5	694.17364154011
6	711.848918944597
1	719.535387456417
3	688.089649472386
1	697.087894622236
10	723.996183872223
2	681.911372635514
10	698.813075628132
3	694.382833763957
2	683.706858400255
8	687.50275246799
8	658.606902975589
1	667.423224970698
6	655.22604579106
6	713.449588082731
8	666.926174387336
2	709.951132703573
7	668.703427184373
6	657.493776082993
5	660.588280428201
9	724.183580614626
4	713.543655332178
5	713.830760680139
3	715.72502091527
3	681.478309165686
5	721.721290964633
