"item"	"rt"
9	654.752350752242
9	706.696043428965
9	646.536079035141
5	656.320571792312
3	700.314082358964
6	713.277924344875
10	664.810260091908
7	707.67690485809
1	696.853082892485
9	682.152208783664
8	661.309995581396
4	703.704160493799
2	717.029845514335
8	665.008758441545
9	648.944971808232
5	706.642317255028
7	683.921465151943
2	712.477886383422
7	687.360828486271
6	715.190821667202
7	690.339958188124
4	668.035269328393
10	719.772844766267
2	647.016543583013
10	712.78905196581
8	676.038523414172
6	698.419653312303
10	657.329474599101
7	716.78347252775
2	673.987663988955
5	661.128431023099
4	674.383156006224
8	676.087144021876
9	649.979556524195
10	663.252263260074
9	648.083549984731
4	711.877327323891
2	660.96346121747
8	683.379105222411
4	687.002967731096
5	683.930664830841
1	648.217375692911
1	656.892256983556
2	671.992170964368
10	690.161632695235
10	654.384664823301
6	650.397326410748
3	693.225203477778
5	650.067866747268
5	644.523631152697
8	648.416852378286
3	722.16766518075
7	684.756898139603
6	710.383541272022
9	644.144403734244
2	665.201223683544
5	723.318251767196
7	690.648944680579
5	663.510895469226
7	655.869239014573
2	687.194892638363
10	714.737534658052
1	683.299089861102
4	714.328030222096
4	688.274624929763
3	655.496373442002
3	720.812408016063
1	677.9712635139
3	720.28081996832
6	677.739470829256
10	661.041210428812
3	720.955987223424
8	699.357574437745
9	713.492006533779
6	665.329668396153
8	719.723835703917
2	648.762058191933
8	677.900531073101
1	692.737534330226
3	686.371811707504
1	716.80664780084
3	644.149896712042
4	712.078601946123
6	651.539632924832
3	702.603289172985
9	689.838816192932
6	667.108355727978
4	695.10846790392
1	681.704250932671
2	676.834681876935
4	694.504749686457
1	723.39576868806
10	717.476948765106
6	711.151191913523
5	702.47477682773
8	721.07056720648
7	667.133046430536
5	673.310556788929
7	656.672273208387
1	667.59872615803
