"item"	"rt"
5	686.119450908154
6	677.558839116246
1	694.843390621245
10	706.663127876818
9	660.197285301983
4	689.141511060297
8	671.016581244767
7	728.226116932929
7	660.56100750342
7	672.109411284328
2	718.825694024563
1	720.119397286326
7	660.524830576032
4	653.499075844884
1	703.943692818284
10	722.608575373888
2	698.273634705693
9	710.01669568941
4	698.399208765477
9	655.214269943535
6	688.003715984523
1	686.428017951548
4	683.765947725624
2	722.997692171484
5	703.430292345583
4	671.196568552405
2	674.921264816076
6	678.107027411461
5	697.26736439392
3	671.677818950266
7	687.347261365503
8	699.666353780776
4	693.170586116612
5	663.416247628629
6	677.420280706137
3	718.852572925389
8	680.4290365614
4	716.639769282192
8	685.636573527008
3	686.094804629683
1	673.086376935244
7	718.016961067915
10	690.500119179487
9	668.486005961895
2	653.212883248925
1	658.669683635235
10	707.21859626472
5	658.924753535539
8	687.687980718911
5	696.32775561884
9	701.059499680996
8	658.727340213954
6	705.40529794991
9	661.497626695782
2	718.559993822128
6	701.245021168143
9	716.672314424068
3	700.409903433174
8	722.09305267781
1	688.524880502373
6	692.733337506652
10	725.804295372218
9	670.607104860246
7	689.87017095089
6	649.015515353531
5	658.198127243668
10	649.632141087204
1	681.528061553836
2	723.556967731565
5	660.818466022611
5	651.490524634719
